INSERT INTO Ordre VALUES(1,'ORDRE CHEESEBURGER','AIN');
INSERT INTO Ordre VALUES(64,'SUPREME BAGEL FROMAGE','PUY-DE-DÔME');
INSERT INTO Ordre VALUES(65,'SUPREME DONUT SUCRE','PYRÉNÉES-ATLANTIQUES');
INSERT INTO Ordre VALUES(66,'SUPREME DONUT CHOCOLAT','HAUTES-PYRÉNÉES');
INSERT INTO Ordre VALUES(67,'ORDRE DONUT FRAISE','PYRÉNÉES-ORIENTALES');
INSERT INTO Ordre VALUES(68,'SUPREME DONUT CARAMEL','BAS-RHIN');
INSERT INTO Ordre VALUES(69,'DONER  DONUT GLACAGE','HAUT-RHIN');
INSERT INTO Ordre VALUES(70,'DONER  MILKSHAKE VANILLE','RHÔNE');
INSERT INTO Ordre VALUES(71,'DONER  MILKSHAKE CHOCOLAT','HAUTE-SAÔNE');
INSERT INTO Ordre VALUES(72,'ORDRE MILKSHAKE FRAISE','SAÔNE-ET-LOIRE');
INSERT INTO Ordre VALUES(73,'LE GRAND  MILKSHAKE CARAMEL','SARTHE');
INSERT INTO Ordre VALUES(74,'ORDRE MILKSHAKE BANANE','SAVOIE');
INSERT INTO Ordre VALUES(75,'ORDRE GLACE VANILLE','HAUTE-SAVOIE');
INSERT INTO Ordre VALUES(76,'ORDRE GLACE CHOCOLAT','PARIS');
INSERT INTO Ordre VALUES(77,'DONER  GLACE FRAISE','SEINE-MARITIME');
INSERT INTO Ordre VALUES(78,'DONER  GLACE CARAMEL','SEINE-ET-MARNE');
INSERT INTO Ordre VALUES(79,'DONER  GLACE COOKIES','YVELINES');
INSERT INTO Ordre VALUES(80,'DONER  SUNDAE CHOCOLAT','DEUX-SÈVRES');
INSERT INTO Ordre VALUES(81,'DONER  SUNDAE CARAMEL','SOMME');
INSERT INTO Ordre VALUES(82,'DONER  SUNDAE FRAISE','TARN');
INSERT INTO Ordre VALUES(83,'ORDRE SUNDAE VANILLE','TARN-ET-GARONNE');
INSERT INTO Ordre VALUES(84,'LE GRAND  SUNDAE MIX','VAR');
INSERT INTO Ordre VALUES(85,'DONER  BROWNIE','VAUCLUSE');
INSERT INTO Ordre VALUES(86,'ORDRE COOKIE','VENDÉE');
INSERT INTO Ordre VALUES(87,'DONER  MUFFIN CHOCOLAT','VIENNE');
INSERT INTO Ordre VALUES(88,'DONER  MUFFIN MYRTILLE','HAUTE-VIENNE');
INSERT INTO Ordre VALUES(89,'LE GRAND  MUFFIN VANILLE','VOSGES');
INSERT INTO Ordre VALUES(90,'LE GRAND  TIRAMISU','YONNE');
INSERT INTO Ordre VALUES(91,'ORDRE CHEESECAKE','TERRITOIRE DE BELFORT');
INSERT INTO Ordre VALUES(92,'SUPREME PANCAKES','ESSONNE');
INSERT INTO Ordre VALUES(93,'ORDRE GAUFRE','HAUTS-DE-SEINE');
INSERT INTO Ordre VALUES(94,'ORDRE CREPE','SEINE-SAINT-DENIS');
INSERT INTO Ordre VALUES(95,'LE GRAND  OMELETTE SANDWICH','VAL-DE-MARNE');
INSERT INTO Ordre VALUES(96,'DONER  BURGER','VAL-DE OISE');
INSERT INTO Ordre VALUES(97,'DONER  CHEESEBURGER','GUADELOUPE');
INSERT INTO Ordre VALUES(98,'SUPREME DOUBLE CHEESEBURGER','MARTINIQUE');
INSERT INTO Ordre VALUES(99,'DONER  BACON BURGER','GUYANE');
INSERT INTO Ordre VALUES(100,'SUPREME CHICKEN BURGER','LA RÉUNION');
INSERT INTO Ordre VALUES(101,'SUPREME FISH BURGER','MAYOTTE');
